x,y
0.000633397,6.37172e+06
0.000641466,6.37173e+06
0.000649585,6.37174e+06
0.000657756,6.37175e+06
0.000665977,6.37176e+06
0.00067425,6.37177e+06
0.000682574,6.37178e+06
0.000690949,6.37179e+06
0.000699375,6.3718e+06
0.000707852,6.37181e+06
0.00071638,6.37181e+06
0.000724959,6.37182e+06
0.000733589,6.37183e+06
0.00074227,6.37184e+06
0.000751002,6.37185e+06
0.000759786,6.37186e+06
0.00076862,6.37187e+06
0.000777506,6.37188e+06
0.000786442,6.37189e+06
0.00079543,6.3719e+06
0.000804468,6.37191e+06
0.000813558,6.37193e+06
0.000822699,6.37194e+06
0.00083189,6.37195e+06
0.000841133,6.37196e+06
0.000850427,6.37197e+06
0.000859772,6.37198e+06
0.000869168,6.37199e+06
0.000878615,6.372e+06
0.000888113,6.37201e+06
0.000897662,6.37202e+06
0.000907263,6.37203e+06
0.000916914,6.37204e+06
0.000926616,6.37205e+06
0.00093637,6.37207e+06
0.000946174,6.37208e+06
0.00095603,6.37209e+06
0.000965936,6.3721e+06
0.000975894,6.37211e+06
0.000985902,6.37212e+06
0.000995962,6.37213e+06
0.00100607,6.37214e+06
0.00101623,6.37216e+06
0.00102645,6.37217e+06
0.00103671,6.37218e+06
0.00104703,6.37219e+06
0.00105739,6.3722e+06
0.00106781,6.37221e+06
0.00107828,6.37223e+06
0.0010888,6.37224e+06
0.00109937,6.37225e+06
0.00110999,6.37226e+06
0.00112066,6.37227e+06
0.00113138,6.37229e+06
0.00114216,6.3723e+06
0.00115298,6.37231e+06
0.00116386,6.37232e+06
0.00117479,6.37234e+06
0.00118577,6.37235e+06
0.0011968,6.37236e+06
0.00120788,6.37237e+06
0.00121901,6.37239e+06
0.00123019,6.3724e+06
0.00124143,6.37241e+06
0.00125271,6.37242e+06
0.00126405,6.37244e+06
0.00127543,6.37245e+06
0.00128687,6.37246e+06
0.00129836,6.37248e+06
0.0013099,6.37249e+06
0.00132149,6.3725e+06
0.00133314,6.37252e+06
0.00134483,6.37253e+06
0.00135657,6.37254e+06
0.00136837,6.37256e+06
0.00138022,6.37257e+06
0.00139211,6.37258e+06
0.00140406,6.3726e+06
0.00141606,6.37261e+06
0.00142811,6.37262e+06
0.00144021,6.37264e+06
0.00145237,6.37265e+06
0.00146457,6.37267e+06
0.00147683,6.37268e+06
0.00148913,6.37269e+06
0.00150149,6.37271e+06
0.0015139,6.37272e+06
0.00152636,6.37274e+06
0.00153887,6.37275e+06
0.00155143,6.37276e+06
0.00156404,6.37278e+06
0.0015767,6.37279e+06
0.00158942,6.37281e+06
0.00160218,6.37282e+06
0.001615,6.37284e+06
0.00162787,6.37285e+06
0.00164078,6.37287e+06
0.00165375,6.37288e+06
0.00166677,6.3729e+06
0.00167985,6.37291e+06
0.00169297,6.37293e+06
0.00170614,6.37294e+06
0.00171937,6.37296e+06
0.00173264,6.37297e+06
0.00174597,6.37299e+06
0.00175935,6.373e+06
0.00177278,6.37302e+06
0.00178626,6.37303e+06
0.00179979,6.37305e+06
0.00181337,6.37306e+06
0.001827,6.37308e+06
0.00184069,6.37309e+06
0.00185442,6.37311e+06
0.00186821,6.37313e+06
0.00188205,6.37314e+06
0.00189593,6.37316e+06
0.00190987,6.37317e+06
0.00192386,6.37319e+06
0.00193791,6.3732e+06
0.001952,6.37322e+06
0.00196614,6.37324e+06
0.00198034,6.37325e+06
0.00199458,6.37327e+06
0.00200888,6.37329e+06
0.00202323,6.3733e+06
0.00203762,6.37332e+06
0.00205207,6.37333e+06
0.00206658,6.37335e+06
0.00208113,6.37337e+06
0.00209573,6.37338e+06
0.00211038,6.3734e+06
0.00212509,6.37342e+06
0.00213984,6.37343e+06
0.00215465,6.37345e+06
0.00216951,6.37347e+06
0.00218442,6.37349e+06
0.00219938,6.3735e+06
0.00221439,6.37352e+06
0.00222945,6.37354e+06
0.00224457,6.37355e+06
0.00225973,6.37357e+06
0.00227495,6.37359e+06
0.00229021,6.37361e+06
0.00230553,6.37362e+06
0.0023209,6.37364e+06
0.00233632,6.37366e+06
0.00235179,6.37368e+06
0.00236731,6.37369e+06
0.00238288,6.37371e+06
0.0023985,6.37373e+06
0.00241418,6.37375e+06
0.00242991,6.37376e+06
0.00244568,6.37378e+06
0.00246151,6.3738e+06
0.00247739,6.37382e+06
0.00249332,6.37384e+06
0.0025093,6.37385e+06
0.00252533,6.37387e+06
0.00254141,6.37389e+06
0.00255755,6.37391e+06
0.00257373,6.37393e+06
0.00258997,6.37395e+06
0.00260626,6.37397e+06
0.00262259,6.37398e+06
0.00263898,6.374e+06
0.00265542,6.37402e+06
0.00267191,6.37404e+06
